Linux    OSW v2.1.1
zzz ***Mon Oct 17 11:00:42 UTC 2016
F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root        23     2  0  80   0 -     0 xenwat  2015 ?        00:00:00 [xenwatch]
1 S root        24     2  0  80   0 -     0 xb_wai  2015 ?        00:00:00 [xenbus]
1 S root        25     2  0  80   0 -     0 bdi_sy  2015 ?        00:00:41 [sync_supers]
1 S root        26     2  0  80   0 -     0 bdi_fo  2015 ?        00:01:10 [bdi-default]
1 S root        27     2  0  80   0 -     0 worker  2015 ?        00:00:00 [kintegrityd/0]
1 S root        28     2  0  80   0 -     0 worker  2015 ?        00:00:00 [kintegrityd/1]
1 S root        29     2  0  80   0 -     0 worker  2015 ?        00:00:00 [kintegrityd/2]
1 S root        30     2  0  80   0 -     0 worker  2015 ?        00:00:00 [kintegrityd/3]
1 S root        31     2  0  80   0 -     0 worker  2015 ?        00:00:10 [kblockd/0]
1 S root        32     2  0  80   0 -     0 worker  2015 ?        00:00:23 [kblockd/1]
1 S root        33     2  0  80   0 -     0 worker  2015 ?        00:00:19 [kblockd/2]
1 S root        34     2  0  80   0 -     0 worker  2015 ?        00:00:16 [kblockd/3]
1 S root        35     2  0  80   0 -     0 worker  2015 ?        00:00:00 [ata/0]
1 S root        36     2  0  80   0 -     0 worker  2015 ?        00:00:00 [ata/1]
1 S root        37     2  0  80   0 -     0 worker  2015 ?        00:00:00 [ata/2]
1 S root        38     2  0  80   0 -     0 worker  2015 ?        00:00:00 [ata/3]
1 S root        39     2  0  80   0 -     0 worker  2015 ?        00:00:00 [ata_aux]
1 S root        40     2  0  80   0 -     0 worker  2015 ?        00:00:00 [ksuspend_usbd]
1 S root        41     2  0  80   0 -     0 hub_th  2015 ?        00:00:00 [khubd]
1 S root        42     2  0  80   0 -     0 serio_  2015 ?        00:00:00 [kseriod]
1 S root        47     2  0  80   0 -     0 watchd  2015 ?        00:00:39 [khungtaskd]
1 S root        48     2  0  80   0 -     0 kswapd  2015 ?        00:42:24 [kswapd0]
1 S root        49     2  0  85   5 -     0 ksm_sc  2015 ?        00:00:00 [ksmd]
1 S root        50     2  0  80   0 -     0 worker  2015 ?        00:00:00 [aio/0]
1 S root        51     2  0  80   0 -     0 worker  2015 ?        00:00:00 [aio/1]
1 S root        52     2  0  80   0 -     0 worker  2015 ?        00:00:00 [aio/2]
1 S root        53     2  0  80   0 -     0 worker  2015 ?        00:00:00 [aio/3]
1 S root        54     2  0  80   0 -     0 worker  2015 ?        00:00:00 [crypto/0]
1 S root        55     2  0  80   0 -     0 worker  2015 ?        00:00:00 [crypto/1]
1 S root        56     2  0  80   0 -     0 worker  2015 ?        00:00:00 [crypto/2]
1 S root        57     2  0  80   0 -     0 worker  2015 ?        00:00:00 [crypto/3]
1 S root        63     2  0  80   0 -     0 khvcd   2015 ?        00:00:00 [khvcd]
1 S root        64     2  0  80   0 -     0 worker  2015 ?        00:00:00 [kpsmoused]
1 S root        65     2  0  80   0 -     0 worker  2015 ?        00:00:00 [kstriped]
1 S root        66     2  0  80   0 -     0 worker  2015 ?        00:00:00 [ksnapd]
1 S root        67     2  0  80   0 -     0 worker  2015 ?        00:00:00 [usbhid_resumer]
1 S root       105     2  0  80   0 -     0 kjourn  2015 ?        00:00:10 [kjournald]
5 S root       150     1  0  76  -4 -  3174 poll_s  2015 ?        00:00:00 /sbin/udevd -d
0 S oracle     873     1  0  80   0 - 1110859 sk_wai Oct11 ?      00:00:06 oracleBLOGSA2 (LOCAL=NO)
1 S root       952     2  0  80   0 -     0 bdi_wr  2015 ?        00:06:57 [flush-202:0]
0 S oracle     966     1  0  80   0 - 1111114 sk_wai Oct15 ?      00:00:40 oracleBLOGSA2 (LOCAL=NO)
1 S root      1051     2  0  80   0 -     0 bdi_wr  2015 ?        00:44:26 [flush-202:48]
1 S root      1064     2  0  80   0 -     0 kjourn  2015 ?        00:00:17 [kjournald]
1 S root      1065     2  0  80   0 -     0 kjourn  2015 ?        00:12:21 [kjournald]
1 S root      1066     2  0  80   0 -     0 kjourn  2015 ?        00:05:53 [kjournald]
1 S root      1067     2  0  80   0 -     0 kjourn  2015 ?        00:00:00 [kjournald]
1 S root      1068     2  0  80   0 -     0 kjourn  2015 ?        00:01:50 [kjournald]
1 S root      1070     2  0  80   0 -     0 kjourn  2015 ?        00:43:38 [kjournald]
1 S root      1071     2  0  80   0 -     0 kjourn  2015 ?        00:00:02 [kjournald]
0 S oracle    1213     1  0  80   0 - 1110602 sk_wai Oct12 ?      00:00:02 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    1229     1  0  80   0 - 1110875 sk_wai Oct15 ?      00:00:01 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    1374     1  0  80   0 - 1110603 sk_wai Oct13 ?      00:00:02 oracleBLOGSA2 (LOCAL=NO)
5 S root      1532     1  0  76  -4 - 22710 epoll_  2015 ?        00:02:05 auditd
4 S root      1534  1532  0  72  -8 - 36324 futex_  2015 ?        00:01:20 /sbin/audispd
1 S root      1535     2  0  80   0 -     0 kaudit  2015 ?        00:00:18 [kauditd]
5 S root      1556     1  0  80   0 -  2530 poll_s  2015 ?        00:01:30 syslogd -m 0
5 S root      1559     1  0  80   0 -   954 syslog  2015 ?        00:00:00 klogd -x
1 S root      1586     1  0  80   0 -  2693 hrtime  2015 ?        00:35:33 irqbalance
5 S rpc       1596     1  0  80   0 -  2015 poll_s  2015 ?        00:00:00 portmap
5 S root      1624     2  0  80   0 -     0 worker  2015 ?        03:00:24 [rpciod/0]
5 S root      1625     2  0  80   0 -     0 worker  2015 ?        12:40:42 [rpciod/1]
5 S root      1626     2  0  80   0 -     0 worker  2015 ?        00:05:25 [rpciod/2]
5 S root      1627     2  0  80   0 -     0 worker  2015 ?        00:03:15 [rpciod/3]
5 S rpcuser   1632     1  0  80   0 -  3592 poll_s  2015 ?        00:00:00 rpc.statd
1 S root      1654     1  0  80   0 -  5698 epoll_  2015 ?        00:00:00 rpc.idmapd
5 S dbus      1680     1  0  80   0 -  9194 poll_s  2015 ?        00:00:05 dbus-daemon --system
5 S root      1690     1  0  80   0 - 15173 poll_s  2015 ?        00:00:00 /usr/sbin/sshd
1 S root      1714     2  0  75  -5 -     0 slow_w  2015 ?        00:00:00 [kslowd000]
1 S root      1715     2  0  75  -5 -     0 slow_w  2015 ?        00:00:00 [kslowd001]
1 S root      1717     2  0  80   0 -     0 worker  2015 ?        09:03:56 [nfsiod]
1 S root      1720     2  0  80   0 -     0 svc_re  2015 ?        00:00:00 [lockd]
5 S 68        1751     1  0  80   0 - 12237 poll_s  2015 ?        00:00:02 hald
0 S root      1752  1751  0  80   0 -  5427 poll_s  2015 ?        00:00:00 hald-runner
1 S root      1888     1  0  80   0 - 18955 poll_s  2015 ?        00:00:00 vncserver-virtuald
1 S root      1895     1  4  80   0 - 18682 poll_s  2015 ?        13-15:27:47 vncserver-x11-serviced
1 S root      1921     1  0  80   0 -  5413 poll_s  2015 ?        00:00:00 xinetd -stayalive -pidfile /var/run/xinetd.pid
5 S ntp       1938     1  0  80   0 -  9497 poll_s  2015 ?        00:20:43 ntpd -x -u ntp:ntp -p /var/run/ntpd.pid
5 S root      1979     1  0  80   0 - 18707 hrtime  2015 ?        00:02:35 crond
5 S xfs       2000     1  0  80   0 - 10310 poll_s  2015 ?        00:00:01 xfs -droppriv -daemon
0 S oracle    2180     1  0  80   0 - 1110601 sk_wai Oct12 ?      00:00:22 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    2869     1  0  80   0 - 1110603 sk_wai Oct16 ?      00:00:04 oracleBLOGSA2 (LOCAL=NO)
4 S root      3248     1  0  80   0 -   951 n_tty_  2015 tty1     00:00:00 /sbin/mingetty tty1
4 S root      3249     1  0  80   0 -   951 n_tty_  2015 tty2     00:00:00 /sbin/mingetty tty2
4 S root      3250     1  0  80   0 -   951 n_tty_  2015 tty3     00:00:00 /sbin/mingetty tty3
4 S root      3251     1  0  80   0 -   951 n_tty_  2015 tty4     00:00:00 /sbin/mingetty tty4
4 S root      3252     1  0  80   0 -   951 n_tty_  2015 tty5     00:00:00 /sbin/mingetty tty5
4 S root      3253     1  0  80   0 -   951 n_tty_  2015 tty6     00:00:00 /sbin/mingetty tty6
0 S root      3255     1  0  80   0 -   953 n_tty_  2015 hvc0     00:00:00 /sbin/agetty hvc0 9600 vt100-nav
4 S root      3257     1  0  80   0 -  2238 pipe_w  2015 ?        00:00:00 /bin/sh /etc/init.d/init.ohasd run
0 S root      3258     1  0  80   0 -  2270 wait    2015 ?        00:42:40 /bin/sh /etc/init.d/init.tfa run
0 S oracle    3273     1  0  80   0 - 1110599 sk_wai Oct12 ?      00:00:28 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    3342     1  0  80   0 - 1110859 sk_wai Oct12 ?      00:00:10 oracleBLOGSA2 (LOCAL=NO)
4 S root      3616     1  6  80   0 - 361214 futex_ 2015 ?        21-18:00:01 /u01/app/11.2.0.4/grid/jdk/jre/bin/java -Xms128m -Xmx512m -classpath /u01/app/11.2.0.4/grid/tfa/acmsdbv2024/tfa_home/jlib/RATFA.jar:/u01/app/11.2.0.4/grid/tfa/acmsdbv2024/tfa_home/jlib/je-5.0.84.jar:/u01/app/11.2.0.4/grid/tfa/acmsdbv2024/tfa_home/jlib/ojdbc5.jar:/u01/app/11.2.0.4/grid/tfa/acmsdbv2024/tfa_home/jlib/commons-io-2.2.jar oracle.rat.tfa.TFAMain /u01/app/11.2.0.4/grid/tfa/acmsdbv2024/tfa_home
0 S oracle    3794     1  0  80   0 - 1110601 sk_wai Oct15 ?      00:00:33 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    3998     1  0  80   0 - 1110602 sk_wai Oct12 ?      00:00:02 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    4450     1  0  80   0 - 1110602 sk_wai Oct16 ?      00:00:09 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    4464     1  0  80   0 - 1110603 sk_wai Oct14 ?      00:00:03 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    4821     1  0  80   0 - 1110858 sk_wai Oct16 ?      00:00:48 oracleBLOGSA2 (LOCAL=NO)
4 S root      6305     1  0  80   0 - 98309 futex_  2015 ?        1-06:09:10 /u01/app/11.2.0.4/grid/bin/ohasd.bin reboot
4 S oracle    6591     1  0  80   0 - 96821 futex_  2015 ?        1-14:09:57 /u01/app/11.2.0.4/grid/bin/oraagent.bin
0 S oracle    6604     1  0  80   0 - 41255 poll_s  2015 ?        00:12:47 /u01/app/11.2.0.4/grid/bin/mdnsd.bin
0 S oracle    6622     1  0  80   0 - 60767 hrtime  2015 ?        03:09:40 /u01/app/11.2.0.4/grid/bin/gpnpd.bin
0 S oracle    6636     1  0  80   0 - 79194 hrtime  2015 ?        1-04:19:25 /u01/app/11.2.0.4/grid/bin/gipcd.bin
4 S root      6638     1  0  80   0 - 110894 futex_ 2015 ?        1-11:08:44 /u01/app/11.2.0.4/grid/bin/orarootagent.bin
4 S root      6652     1  1 -40   - - 79399 hrtime  2015 ?        6-17:01:19 /u01/app/11.2.0.4/grid/bin/osysmond.bin
4 S root      6759     1  0 -40   - - 80317 futex_  2015 ?        06:15:00 /u01/app/11.2.0.4/grid/bin/cssdmonitor
4 S root      6779     1  0 -40   - - 80652 futex_  2015 ?        06:27:07 /u01/app/11.2.0.4/grid/bin/cssdagent
4 S oracle    6790     1  0 -40   - - 87298 futex_  2015 ?        1-09:43:21 /u01/app/11.2.0.4/grid/bin/ocssd.bin 
4 S root      6971     1  0 -40   - - 78087 poll_s  2015 ?        11:18:13 /u01/app/11.2.0.4/grid/bin/ologgerd -m acmsdbv2003 -r -d /u01/app/11.2.0.4/grid/crf/db/acmsdbv2024
4 S root      7011     1  0  80   0 - 77182 futex_  2015 ?        19:30:57 /u01/app/11.2.0.4/grid/bin/octssd.bin reboot
0 S oracle    7080     1  0  80   0 - 1110601 sk_wai Oct12 ?      00:00:11 oracleBLOGSA2 (LOCAL=NO)
4 S root      7167     1  0  80   0 - 170759 futex_ 2015 ?        3-02:28:21 /u01/app/11.2.0.4/grid/bin/crsd.bin reboot
0 S oracle    7168     1  0  80   0 - 67055 futex_  2015 ?        18:55:38 /u01/app/11.2.0.4/grid/bin/evmd.bin
0 S oracle    7658  7168  0  80   0 - 23179 poll_s  2015 ?        00:00:00 /u01/app/11.2.0.4/grid/bin/evmlogger.bin -o /u01/app/11.2.0.4/grid/evm/log/evmlogger.info -l /u01/app/11.2.0.4/grid/evm/log/evmlogger.log
4 S root      7701     1  0  80   0 - 104003 futex_ 2015 ?        1-07:24:49 /u01/app/11.2.0.4/grid/bin/orarootagent.bin
1 S root      7778     2  0  80   0 -     0 KsSlee  2015 ?        00:00:00 [oks_wkq]
1 S root      7779     2  0  80   0 -     0 KsSlee  2015 ?        00:00:00 [UsmGeneral]
1 S root      7780     2  0  80   0 -     0 KsSlee  2015 ?        00:00:00 [UsmGeneral]
1 S root      7781     2  0  80   0 -     0 KsSlee  2015 ?        00:08:22 [UsmMonitor]
1 S root      7782     2  0  80   0 -     0 KsSlee  2015 ?        00:00:00 [UsmGeneral]
1 S root      7783     2  0  80   0 -     0 KsSlee  2015 ?        00:00:00 [UsmGeneral]
0 S oracle    7792     1  0  80   0 - 1110601 sk_wai Oct11 ?      00:00:06 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    7957     1  0  80   0 - 1110602 sk_wai Oct12 ?      00:00:05 oracleBLOGSA2 (LOCAL=NO)
1 S root      8000     2  0  80   0 -     0 KsSlee  2015 ?        00:00:00 [acfsioerrlog]
1 S root      8011     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast0]
1 S root      8013     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast1]
1 S root      8014     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast2]
1 S root      8015     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast3]
1 S root      8016     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast4]
1 S root      8017     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast5]
1 S root      8018     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast6]
1 S root      8019     2  0  70 -10 -     0 KsSlee  2015 ?        00:00:00 [acfs_bast7]
1 D root      8103     2  0  80   0 -     0 KsWait  2015 ?        00:00:40 [oks_plog]
4 S oracle    8121     1  0  80   0 - 107143 futex_ 2015 ?        1-15:01:29 /u01/app/11.2.0.4/grid/bin/oraagent.bin
1 S oracle    8136     1  0  80   0 - 15680 wait    2015 ?        00:00:00 /u01/app/11.2.0.4/grid/opmn/bin/ons -d
1 S oracle    8137  8136  0  80   0 - 35272 futex_  2015 ?        00:27:19 /u01/app/11.2.0.4/grid/opmn/bin/ons -d
4 S root      8248 22238  0  80   0 - 45078 epoll_ Oct02 ?        00:01:09 /usr/libexec/sssd/sssd_be -d 0 --debug-to-files --domain oracle.com
0 S oracle    8286     1  0  80   0 - 1110602 sk_wai Oct15 ?      00:00:02 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    8397     1  0  80   0 - 21495 poll_s  2015 ?        00:57:03 /u01/app/11.2.0.4/grid/bin/tnslsnr LISTENER_BLOGSA_1521 -inherit
0 S oracle    8440     1  0  80   0 - 21490 poll_s  2015 ?        00:13:54 /u01/app/11.2.0.4/grid/bin/tnslsnr LISTENER_SCAN1 -inherit
0 S oracle    8721     1  0  80   0 - 334454 poll_s 2015 ?        01:19:49 asm_pmon_+ASM2
0 S oracle    8725     1  0  80   0 - 333826 semtim 2015 ?        01:05:18 asm_psp0_+ASM2
0 S oracle    8730     1  0  58   - - 333826 hrtime 2015 ?        3-05:31:44 asm_vktm_+ASM2
0 S oracle    8736     1  0  80   0 - 333826 semtim 2015 ?        00:11:56 asm_gen0_+ASM2
0 S oracle    8740     1  0  80   0 - 335368 poll_s 2015 ?        05:26:36 asm_diag_+ASM2
0 S oracle    8744     1  0  80   0 - 333826 poll_s 2015 ?        00:26:17 asm_ping_+ASM2
0 S oracle    8748     1  0  80   0 - 335880 poll_s 2015 ?        09:13:30 asm_dia0_+ASM2
0 S oracle    8752     1  0  80   0 - 335941 poll_s 2015 ?        14:23:21 asm_lmon_+ASM2
0 S oracle    8756     1  0  80   0 - 337838 poll_s 2015 ?        06:53:51 asm_lmd0_+ASM2
0 R oracle    8760     1  0  58   - - 337538 -      2015 ?        20:37:07 asm_lms0_+ASM2
0 S oracle    8766     1  0  80   0 - 333976 semtim 2015 ?        00:27:04 asm_lmhb_+ASM2
0 S oracle    8770     1  0  80   0 - 333826 semtim 2015 ?        00:11:58 asm_mman_+ASM2
0 S oracle    8774     1  0  80   0 - 334391 semtim 2015 ?        00:11:48 asm_dbw0_+ASM2
0 S oracle    8778     1  0  80   0 - 333826 semtim 2015 ?        00:12:17 asm_lgwr_+ASM2
0 S oracle    8782     1  0  80   0 - 333826 semtim 2015 ?        00:21:44 asm_ckpt_+ASM2
0 S oracle    8786     1  0  80   0 - 333826 semtim 2015 ?        00:10:42 asm_smon_+ASM2
0 S oracle    8790     1  0  80   0 - 333826 semtim 2015 ?        00:13:21 asm_rbal_+ASM2
0 S oracle    8794     1  0  80   0 - 334104 semtim 2015 ?        00:18:32 asm_gmon_+ASM2
0 S oracle    8798     1  0  80   0 - 333826 semtim 2015 ?        00:37:26 asm_mmon_+ASM2
0 S oracle    8802     1  0  80   0 - 333826 semtim 2015 ?        01:02:33 asm_mmnl_+ASM2
0 S oracle    8811     1  0  80   0 - 334104 poll_s 2015 ?        00:51:21 asm_lck0_+ASM2
0 S oracle    8928     1  0  80   0 - 1109539 poll_s 2015 ?       02:06:23 ora_pmon_BLOGSA2
0 S oracle    8932     1  0  80   0 - 1108781 semtim 2015 ?       01:12:45 ora_psp0_BLOGSA2
0 S oracle    8937     1  0  58   - - 1108781 hrtime 2015 ?       3-06:06:39 ora_vktm_BLOGSA2
0 S oracle    8943     1  0  80   0 - 1108922 semtim 2015 ?       00:14:46 ora_gen0_BLOGSA2
0 S oracle    8947     1  0  80   0 - 1110351 poll_s 2015 ?       06:15:09 ora_diag_BLOGSA2
0 S oracle    8951     1  0  80   0 - 1108928 semtim 2015 ?       00:36:02 ora_dbrm_BLOGSA2
0 S oracle    8955     1  0  80   0 - 1108781 poll_s 2015 ?       00:38:08 ora_ping_BLOGSA2
0 S oracle    8959     1  0  80   0 - 1108781 semtim 2015 ?       00:11:38 ora_acms_BLOGSA2
0 S oracle    8964     1  0  80   0 - 1112106 poll_s 2015 ?       1-02:24:16 ora_dia0_BLOGSA2
0 S oracle    8968     1  0  80   0 - 1110908 poll_s 2015 ?       18:31:14 ora_lmon_BLOGSA2
0 S oracle    8972     1  0  80   0 - 1113336 poll_s 2015 ?       08:44:46 ora_lmd0_BLOGSA2
0 R oracle    8976     1  0  58   - - 1113245 -     2015 ?        20:35:20 ora_lms0_BLOGSA2
0 S oracle    8982     1  0  58   - - 1113245 poll_s 2015 ?       20:29:31 ora_lms1_BLOGSA2
0 S oracle    8988     1  0  80   0 - 1108781 semtim 2015 ?       00:11:42 ora_rms0_BLOGSA2
0 S oracle    8992     1  0  80   0 - 1108922 semtim 2015 ?       00:28:01 ora_lmhb_BLOGSA2
0 S oracle    8996     1  0  80   0 - 1108781 semtim 2015 ?       00:18:29 ora_mman_BLOGSA2
0 S oracle    9000     1  0  80   0 - 1112153 semtim 2015 ?       00:38:47 ora_dbw0_BLOGSA2
0 S oracle    9004     1  0  80   0 - 1112666 semtim 2015 ?       03:54:17 ora_lgwr_BLOGSA2
0 D oracle    9008     1  0  80   0 - 1109050 nfs_di 2015 ?       06:21:50 ora_ckpt_BLOGSA2
0 S oracle    9012     1  0  80   0 - 1110476 semtim 2015 ?       00:51:18 ora_smon_BLOGSA2
0 S oracle    9016     1  0  80   0 - 1109178 semtim 2015 ?       00:04:31 ora_reco_BLOGSA2
0 S oracle    9020     1  0  80   0 - 1110448 semtim 2015 ?       04:08:05 ora_mmon_BLOGSA2
0 S oracle    9024     1  0  80   0 - 1109070 semtim 2015 ?       08:38:17 ora_mmnl_BLOGSA2
0 S oracle    9034     1  0  80   0 - 1109306 poll_s 2015 ?       03:04:11 ora_lck0_BLOGSA2
0 S oracle    9039     1  0  80   0 - 1110285 poll_s 2015 ?       00:27:36 ora_rsmn_BLOGSA2
0 S oracle    9087     1  0  80   0 - 1109194 semtim 2015 ?       00:22:34 ora_rvwr_BLOGSA2
0 S oracle    9097     1  0  80   0 - 1117494 semtim 2015 ?       00:07:26 ora_arc0_BLOGSA2
0 S oracle    9101     1  0  80   0 - 1117179 semtim 2015 ?       00:18:28 ora_arc1_BLOGSA2
0 S oracle    9105     1  0  80   0 - 1125715 semtim 2015 ?       00:07:26 ora_arc2_BLOGSA2
0 S oracle    9113     1  0  80   0 - 1125638 semtim 2015 ?       00:07:24 ora_arc4_BLOGSA2
0 S oracle    9117     1  0  80   0 - 1121629 semtim 2015 ?       00:22:06 ora_arc5_BLOGSA2
0 S oracle    9121     1  0  80   0 - 1125671 semtim 2015 ?       00:07:17 ora_arc6_BLOGSA2
0 S oracle    9125     1  0  80   0 - 1125670 semtim 2015 ?       00:07:24 ora_arc7_BLOGSA2
0 S oracle    9133     1  0  80   0 - 1129767 semtim 2015 ?       00:07:24 ora_arc9_BLOGSA2
0 S oracle    9137     1  0  80   0 - 1129783 semtim 2015 ?       00:07:22 ora_arca_BLOGSA2
0 S oracle    9141     1  0  80   0 - 1129767 semtim 2015 ?       00:07:27 ora_arcb_BLOGSA2
0 S oracle    9146     1  0  80   0 - 1129767 semtim 2015 ?       00:07:20 ora_arcc_BLOGSA2
0 S oracle    9150     1  0  80   0 - 1121586 semtim 2015 ?       00:07:19 ora_arcd_BLOGSA2
0 S oracle    9154     1  0  80   0 - 1129784 semtim 2015 ?       00:07:23 ora_arce_BLOGSA2
0 S oracle    9158     1  0  80   0 - 1129785 semtim 2015 ?       00:07:23 ora_arcf_BLOGSA2
0 S oracle    9163     1  0  80   0 - 1129784 semtim 2015 ?       00:07:18 ora_arcg_BLOGSA2
0 S oracle    9167     1  0  80   0 - 1129768 semtim 2015 ?       00:07:20 ora_arch_BLOGSA2
0 S oracle    9171     1  0  80   0 - 1129766 semtim 2015 ?       00:07:20 ora_arci_BLOGSA2
0 S oracle    9176     1  0  80   0 - 1121577 semtim 2015 ?       00:07:22 ora_arcj_BLOGSA2
0 S oracle    9181     1  0  80   0 - 1125648 semtim 2015 ?       00:07:18 ora_arck_BLOGSA2
0 S oracle    9186     1  0  80   0 - 1125638 semtim 2015 ?       00:07:19 ora_arcl_BLOGSA2
0 S oracle    9190     1  0  80   0 - 1116906 semtim 2015 ?       00:07:23 ora_arcm_BLOGSA2
0 S oracle    9195     1  0  80   0 - 1125638 semtim 2015 ?       00:07:22 ora_arcn_BLOGSA2
0 S oracle    9199     1  0  80   0 - 1116906 semtim 2015 ?       00:07:23 ora_arco_BLOGSA2
0 S oracle    9203     1  0  80   0 - 1125637 semtim 2015 ?       00:07:26 ora_arcp_BLOGSA2
0 S oracle    9207     1  0  80   0 - 1116906 semtim 2015 ?       00:07:23 ora_arcq_BLOGSA2
0 S oracle    9211     1  0  80   0 - 1125637 semtim 2015 ?       00:07:26 ora_arcr_BLOGSA2
0 S oracle    9215     1  0  80   0 - 1125648 semtim 2015 ?       00:07:20 ora_arcs_BLOGSA2
0 S oracle    9219     1  0  80   0 - 1125637 semtim 2015 ?       00:07:25 ora_arct_BLOGSA2
0 S oracle    9242     1  0  80   0 - 1108781 semtim 2015 ?       00:12:26 ora_gtx0_BLOGSA2
0 S oracle    9246     1  0  80   0 - 1108927 semtim 2015 ?       00:26:24 ora_rcbg_BLOGSA2
0 S oracle    9251     1  0  80   0 - 1108781 poll_s 2015 ?       00:17:22 ora_qmnc_BLOGSA2
0 S oracle    9259     1  0  80   0 - 1109445 poll_s 2015 ?       00:16:30 ora_q000_BLOGSA2
0 S oracle    9260     1  0  80   0 - 1110601 sk_wai Oct14 ?      00:00:05 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    9271     1  0  80   0 - 1109580 pipe_w 2015 ?       00:00:00 oracleBLOGSA2 (DESCRIPTION=(LOCAL=YES)(ADDRESS=(PROTOCOL=beq)))
0 S oracle    9310     1  0  80   0 - 1110479 semtim 2015 ?       03:35:41 ora_cjq0_BLOGSA2
0 S oracle    9535     1  0  80   0 - 1110602 sk_wai Oct10 ?      00:19:08 oracleBLOGSA2 (LOCAL=NO)
0 S oracle    9846     1  0  80   0 - 1110602 sk_wai Oct14 ?      00:00:12 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   10253     1  0  80   0 - 1110603 sk_wai 10:49 ?      00:00:05 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   10317     1  0  80   0 - 1110602 sk_wai Oct15 ?      00:00:49 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   10319     1  0  80   0 - 1110603 sk_wai Oct15 ?      00:00:08 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   11699     1  0  80   0 - 1110601 sk_wai Oct13 ?      00:00:09 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   11727     1  0  80   0 - 1110858 sk_wai Oct10 ?      00:21:27 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   11735     1  0  80   0 - 1110858 sk_wai Oct10 ?      00:23:31 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   11743     1  0  80   0 - 1111115 sk_wai Oct10 ?      00:05:28 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   11756     1  0  80   0 - 1110448 sk_wai Oct10 ?      00:00:00 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   11760     1  0  80   0 - 1110860 sk_wai Oct10 ?      00:33:41 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   12730     1  0  80   0 - 1110602 sk_wai Oct12 ?      00:00:11 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   12914     1  0  80   0 - 1110602 sk_wai Oct16 ?      00:00:05 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13147     1  0  80   0 - 1110874 sk_wai Oct16 ?      00:00:01 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13262     1  0  80   0 - 1111113 sk_wai Oct16 ?      00:00:02 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13427     1  0  80   0 - 1110858 sk_wai Oct11 ?      00:00:18 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13701     1  0  80   0 - 1110603 sk_wai Oct10 ?      00:03:40 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13710     1  0  80   0 - 1110706 sk_wai Oct10 ?      00:00:54 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13730     1  0  80   0 - 1110601 sk_wai Oct10 ?      00:00:29 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13734     1  0  80   0 - 1110602 sk_wai Oct10 ?      00:01:15 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13739     1  0  80   0 - 1110859 sk_wai Oct10 ?      00:02:37 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13743     1  0  80   0 - 1110859 sk_wai Oct10 ?      00:06:08 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13853     1  0  80   0 - 1110603 sk_wai Oct16 ?      00:00:07 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   13936     1  0  80   0 - 1110602 sk_wai Oct14 ?      00:00:07 oracleBLOGSA2 (LOCAL=NO)
0 S oracle   14330     1  0  80   0 - 1110603 sk_wai Oct11 ?      00:00:12 oracleBLOGSA2 (LOCAL=NO)
